,CYS_chi1,ASP_chi1,ASP_chi2,GLU_chi1,GLU_chi2,GLU_chi3,PHE_chi1,PHE_chi2,HIS_chi1,HIS_chi2,ILE_chi1,ILE_chi2,LYS_chi1,LYS_chi2,LYS_chi3,LYS_chi4,LEU_chi1,LEU_chi2,MET_chi1,MET_chi2,MET_chi3,ASN_chi1,ASN_chi2,PRO_chi1,GLN_chi1,GLN_chi2,GLN_chi3,ARG_chi1,ARG_chi2,ARG_chi3,ARG_chi4,SER_chi1,THR_chi1,VAL_chi1,TRP_chi1,TRP_chi2,TYR_chi1,TYR_chi2
215.0,0.0010428802617647042,0.010169899614718666,0.016346340250700725,0.007290505813770287,0.01018450268408845,0.02769493926671835,0.004309879160958946,0.005387079899369644,0.004849548901270207,0.011328088248439925,0.004875152291937045,0.0005388680452154258,0.01460810913387806,0.02479805663326922,0.025780416152677316,0.022379466207632558,0.008579961213873931,0.000982217782059631,0.012001208638545134,0.012612298141169263,0.013180860230308565,0.011049589067056687,0.0018403432007090819,8.186528846512432e-07,0.007855916590126062,0.012472895389485318,0.005063630213165082,0.013709718166622743,0.026056997767112816,0.01438500308516812,0.02735816784281032,0.0005488533173840425,0.0002599420097686703,0.00023454313216505302,0.0047273785361666674,0.0008744986429068217,0.004309879160958946,0.005387079899369644
225.0,0.0004019249905273083,0.0018330778987873954,0.011882276024001987,0.0025922130482464436,0.0034782345573680057,0.021511274283369193,0.001442614514874281,0.008816580083028559,0.0008207127437355972,0.010717715406007619,0.0007657591605976013,0.00021512481312351898,0.004790536792424844,0.009446635476680057,0.010830744119211835,0.009780208446223234,0.0026514339805800004,0.0003276697516298904,0.004114668301118094,0.0034144374362736632,0.008650112498655842,0.0032909973631314944,0.002428865348831324,8.186528846512432e-07,0.0022557637167143316,0.0041225178927848825,0.007088639110281412,0.004278514691089096,0.009087799128910687,0.0046136585310817815,0.019380335197514868,0.00020002256297486882,5.0958928647719895e-05,2.3771263395106934e-05,0.0010095215934328293,0.004752132743763112,0.001442614514874281,0.008816580083028559
235.0,0.0002478832540697111,0.0004819055366101799,0.012214396459687093,0.00122716284557232,0.0016394594016082358,0.018129499856570322,0.0006308230576920638,0.017740160008848073,0.00020576474449860737,0.012675999830132631,0.00019822843519016377,9.292909178407272e-05,0.0019798052535191166,0.004065859126746095,0.005486654820665571,0.005000543458014733,0.0012663565280381978,0.00014879689204449128,0.0014256366166244846,0.0007474547442142955,0.007184022232703519,0.0010998818407964713,0.004204049142717659,8.186528846512432e-07,0.0008257371950561558,0.001836297555390595,0.00979532164009879,0.0015148370944958359,0.003629770559575964,0.0016361552366930877,0.018466562645455008,0.00010027988833118152,4.1178932240581745e-05,1.2149756846387986e-05,0.00039111648002368855,0.01764007337147131,0.0006308230576920638,0.017740160008848073
245.0,0.00016112411514531273,0.0004890188657193351,0.013610004618261388,0.001482251982451093,0.002289642570639078,0.016050571574347042,0.0006057391487050986,0.036815976082368605,0.00013725470414103285,0.02111634295281558,0.00014090209929042082,0.0001526692222166909,0.002684304512150372,0.003965427133807696,0.004884189771255577,0.0044228149359024724,0.0023255450428176653,0.00017056239487014827,0.0017163600535201762,0.0007222798572786627,0.008793202225490477,0.0009703831112185225,0.006768526575085136,8.186528846512432e-07,0.0010748683315420762,0.0026892793992788224,0.013097091631224245,0.0020496681036751433,0.0034906734706196684,0.0017343637377078632,0.023830510667394483,6.285400143615127e-05,7.206313142101806e-05,2.1130011906761714e-06,0.0008299410692332337,0.038335491075095485,0.0006057391487050986,0.036815976082368605
255.0,0.0005046194814990469,0.001367469989629832,0.012213766164702737,0.003574191690162741,0.006663427558900394,0.014137551748191104,0.001976992839992703,0.07121524585086898,0.0006673863349216459,0.03867556014583253,0.00043930076352644736,0.0004945155241366615,0.008603848560526286,0.006781906557530157,0.007752394870486043,0.007159685890521176,0.008274848437899706,0.0003193592869146396,0.00553568469318687,0.003202288313356971,0.014788637382636364,0.002410972605539022,0.011723176298914373,8.186528846512432e-07,0.0034886811665523288,0.006928808101486665,0.01593787284345331,0.007188604708373301,0.006408817021929257,0.004891797516299747,0.03671586154817803,0.00021560175991203436,0.00010346206725446164,2.4827763990445012e-05,0.0028476340265936526,0.067898090978014,0.001976992839992703,0.07121524585086898
265.0,0.0017387239678318192,0.006932344406505674,0.010482660990170003,0.011572385687373444,0.017282030515664466,0.013073366228486196,0.01263988935926505,0.09845624683294958,0.006270780303551074,0.06492065387671807,0.0017626339701383809,0.0012916540322325,0.027347864870982286,0.012554432720386878,0.014553067981111492,0.01405852779748746,0.02891250248077261,0.0006711689598602501,0.018519750804300246,0.010096120798469933,0.031068021477121465,0.011367483472883045,0.021543459348693703,8.186528846512432e-07,0.013771354427030159,0.015754731051773916,0.019227023394687077,0.024850690135317897,0.012091739724029191,0.014021165943052478,0.05331709049125379,0.001181153827557978,0.00015493573255518882,0.00012519532054756317,0.012347848825604113,0.08946508182728362,0.01263988935926505,0.09845624683294958
275.0,0.010906863179067316,0.044816854736185074,0.010342375335080565,0.047621771110509845,0.032442040407536246,0.01385937308943301,0.05532094695978469,0.08894514049762339,0.041367042775839115,0.09002770668036243,0.010544123477306861,0.0056188911568012265,0.06536283628662422,0.02203681401248654,0.02462891441465605,0.025612892013874552,0.060661445716143396,0.002581388635122892,0.05737632726242943,0.02370718035349992,0.06101958017620534,0.05917935380208494,0.03916520213320268,8.186528846512432e-07,0.054835075799885634,0.029702657120387825,0.0243115611230384,0.06591696635782422,0.020980647378434265,0.03252288633498953,0.059839781540691535,0.006388545171612902,0.000703645004660931,0.0010675938515891227,0.05393109193735206,0.0648837036075207,0.05532094695978469,0.08894514049762339
285.0,0.15078207166659,0.12106327882512298,0.014770107558038233,0.145721951485182,0.047754557575427514,0.016279589484506824,0.1289520712727402,0.0581026945168148,0.13035090983445205,0.09472944282332695,0.10659832160557191,0.0246790099431111,0.10602856614148437,0.03199884492368045,0.03303759928353965,0.037973720956161444,0.13267320541945196,0.007774637609324638,0.1324005247355235,0.04860264281724033,0.08865812942691473,0.1337591408620381,0.04975539501622985,8.186528846512434e-07,0.13580864849965651,0.04549399459953766,0.03473211615652543,0.11240964573563987,0.029609181196206768,0.05445354026951106,0.04865999530949486,0.05863024835388772,0.018982458289602162,0.015377894415443485,0.13562537792361262,0.028958597237565446,0.1289520712727402,0.0581026945168148
295.0,0.24099564079591781,0.14470987566891183,0.020174571901395568,0.17392264209551908,0.048736462004557446,0.01994059089438716,0.17957330366754076,0.03590827799627086,0.1733580876689201,0.07485801176824182,0.2719407499129547,0.0757281582691052,0.12168649708961121,0.03589936379058358,0.03327570554426852,0.042932093870097665,0.21377562418020746,0.008570463539913645,0.152964153095761,0.06314720120824822,0.08193922504775306,0.14830750677370802,0.05247613574001666,8.186528846512432e-07,0.1606255857508121,0.04912829277144412,0.04488808786463673,0.12853328079356763,0.03136354768632834,0.06393245782955602,0.02587051774981306,0.1644960846075744,0.22113961665502505,0.113309160599712,0.15533557816489862,0.011561340138790078,0.17957330366754076,0.03590827799627086
305.0,0.11672822434142734,0.06774131361218363,0.02558119725612784,0.11204054764999183,0.03489674211013195,0.023686058549108022,0.11694822043739221,0.021755530898450153,0.115932361820293,0.0433797598347688,0.21691350180034882,0.07217905142931284,0.101329963779072,0.030735822586961167,0.02434872221532893,0.0361638881125308,0.12680403864840983,0.004469447071144876,0.1118318491992862,0.05735183854745755,0.05320376129583913,0.08773885600807381,0.058092518753272426,8.186528846512432e-07,0.11883400322973602,0.03904124367403745,0.0516304599614962,0.10223178858800756,0.024230252957065324,0.05361266116919375,0.008194054625916238,0.04678003069280867,0.19312250063183922,0.07347697515427551,0.09028624640473266,0.006514182248127612,0.11694822043739221,0.021755530898450153
315.0,0.017675846609842377,0.008101271476063494,0.031348756531544335,0.03743656093119116,0.015082967124566814,0.027391737155840198,0.02678853859076612,0.012454409167564396,0.03720458857726465,0.018954288083311958,0.053724129982337436,0.01609061189884607,0.05953066326016801,0.01909504973599257,0.012306845358023809,0.022070016375655095,0.031458472706751985,0.0022930946567866974,0.05027761907721521,0.03404986561093368,0.02429994144055979,0.018614342718648754,0.06490741735472343,2.5269282025871645e-05,0.052151046124153326,0.0212301790039678,0.05489301922374748,0.05329451437945276,0.01332676365490319,0.03116987882055245,0.0012578783058437644,0.005470984193382591,0.023290804075273022,0.004257169148914795,0.0280186124636535,0.008062670452410138,0.02678853859076612,0.012454409167564396
325.0,0.0023177084255517934,0.0006175090003872622,0.03876710339205853,0.006749578708854226,0.002700885305108351,0.03242030980423444,0.0031346607715893064,0.009894070569562848,0.005180015996625163,0.008003943550542217,0.006362318132199321,0.0026997711470255767,0.02379621670202599,0.008079569550582819,0.004186125816968351,0.009773778429721741,0.0040887486399033965,0.0008492503466156228,0.012212488610307787,0.009489682016933254,0.007554463603517749,0.0020251603282990223,0.0714801674969521,0.12432740009060073,0.010689976876909554,0.005599805633211963,0.0555419334849701,0.01883682513710432,0.005442979361264458,0.01257477008959868,3.5261232784441036e-05,0.0007436828147131927,0.0018515077408671468,0.0006064313417240465,0.005612228938613827,0.016404613374158265,0.0031346607715893064,0.009894070569562848
335.0,0.0003505777450414443,5.123397801405037e-05,0.05026471939132235,0.0014317773926716727,0.0004896411220055001,0.038570865440093534,0.0003134246845698388,0.00934752282325273,0.0004489519254254074,0.004069308698499268,0.0006848988552232342,0.0005521436297560015,0.0061163522590416495,0.002331711173071103,0.0008999960843526088,0.0035493532453036085,0.00032569106955482774,0.00023803545362968483,0.0028186724408393034,0.0018607306346871014,0.002850861530070758,0.00019786391957390438,0.07488485833308671,0.32290635767714887,0.002216073248090475,0.001142420257247597,0.05364574613301893,0.0042992464470110806,0.0015045965499455862,0.0036632035343506547,1.8857504000027327e-07,0.00023637402249492785,0.00034332934755584567,0.0002746901547879023,0.0007455517251544756,0.024700198416225793,0.0003134246845698388,0.00934752282325273
345.0,8.85297335963257e-05,1.1075183296534614e-05,0.06099832782740652,0.00024599064926807335,5.782660315054776e-05,0.04396862910956984,1.4073480289718328e-05,0.007817114626924037,4.856704915759633e-05,0.0022621217606423366,0.00010198053439006902,0.00019762517895638838,0.000728252247220697,0.0003930664857096415,0.00013869482139637553,0.001367658164459244,6.549437668447686e-05,9.161298007526525e-05,0.00042063866202687877,0.00023752223730851563,0.0010940325789568833,1.1033858363578907e-05,0.07271394670005257,0.06808471010134967,0.00035229802741797134,0.00019361839402248058,0.05044255123807856,0.0004355002567069669,0.00023878889363936732,0.0007229461100576256,0.0,7.001685060266423e-05,5.867997844282898e-05,0.000343890943782545,6.233559549284302e-05,0.02883775169684467,1.4073480289718328e-05,0.007817114626924037
355.0,3.5411893438530275e-05,1.71080067182242e-06,0.060911392140635755,4.4290190914075176e-05,5.4125858869524414e-06,0.0474725731750387,2.731910879768851e-06,0.005189802819779062,7.038702776463234e-07,0.001155403060756434,1.5085877868353406e-05,7.96535072434909e-05,1.415555441984439e-05,3.077524345293032e-05,2.965422083918079e-05,0.0007538506928488145,1.0289146790310565e-05,5.9954066874309654e-05,5.1966090052476296e-05,1.1359958066048847e-05,0.0005359765449954612,0.0,0.06306357015845293,0.014869410258717138,5.2666286615313616e-05,2.8149300931460646e-05,0.04778765318752707,1.3807372440995603e-05,2.4795318064425877e-05,0.00012288423490749347,0.0,8.729722421687676e-06,9.779996407138167e-06,0.0006127703452960652,1.3277256801724881e-05,0.02406986627552018,2.731910879768851e-06,0.005189802819779062
